policy,lambda,mu_0,mu_1,mu_2,trials,horizon,warmup,mean_throughput,ci95_throughput,mean_response,ci95_response,mean_final_jobs,ci95_final_jobs,mean_utilization_0,mean_utilization_1,mean_utilization_2
round_robin,2.4,1.5,1,0.5,10,5000,500,2.0612888888888885,0.009641683150622797,246.10985579266907,8.401704091262024,1477.1,66.90484644113891,0.5246585977119183,0.7945583837935271,1
weighted_round_robin,2.4,1.5,1,0.5,10,5000,500,2.388088888888889,0.015951341047311038,3.2721516665243455,0.1774982210582245,6.5,3.4923291397281253,0.7904292547246823,0.7931649616664274,0.7949419889487266
