scenario,architecture,policy,requests,servers,horizon,trials,mean_throughput,ci95_throughput,mean_response,ci95_response,mean_utilization,mean_unfinished,mean_rejected_full,mean_backup_activations
private_queues,filas_privadas,least_work,120,3,200,10,0.5999999999999999,8.371663225071137e-17,0.9679084384677585,0.009064826273660584,0.010000000000000005,0,0,0
shared_queue,fila_compartilhada,least_work,120,3,200,10,0.5999999999999999,8.371663225071137e-17,0.9678746198191069,0.009048728920019766,0.010000000000000005,0,0,0
bounded_buffers,buffers_limitados,least_work,120,3,200,10,0.5210000000000001,0.0400358503622073,0.05166765082003114,0.0006984722944424753,0.000578888888888889,0,15.8,0
backup_overflow,backup_de_overflow,least_work,120,4,200,10,0.5999999999999999,8.371663225071137e-17,0.05274825705705346,0.0017616806335428003,0.0005000000000000001,0,0,15.8
multi_pool,pools_hierarquicos,hierarchical_least_work,120,4,200,10,0.5999999999999999,8.371663225071137e-17,0.04809295895136723,0.0013525380784533314,0.0004668333333333333,0,0,0
