policy,burst_size,trial,throughput,response_time,utilization,duration,completed,rejected_full,backup_activations,assigned_0,assigned_1,assigned_2,assigned_3
round_robin,90,8,0.45,0.052501890430577514,0.0005000000000000001,200,90,0,0,30,30,30,0
round_robin,90,9,0.45,0.05094602545026841,0.0004999999999999999,200,90,0,0,30,30,30,0
round_robin,90,10,0.45,0.05190412123212284,0.0004999999999999999,200,90,0,0,30,30,30,0
round_robin,120,1,0.6,0.05434594557247462,0.0006666666666666663,200,120,0,0,40,40,40,0
round_robin,120,2,0.6,0.051720835201085925,0.0006666666666666666,200,120,0,0,40,40,40,0
round_robin,120,3,0.6,0.05860881942928342,0.0006666666666666666,200,120,0,0,40,40,40,0
round_robin,120,4,0.6,0.0571351953208726,0.0006666666666666664,200,120,0,0,40,40,40,0
round_robin,120,5,0.6,0.05138804929448736,0.000666666666666667,200,120,0,0,40,40,40,0
round_robin,120,6,0.6,0.0580510851341873,0.0006666666666666666,200,120,0,0,40,40,40,0
round_robin,120,7,0.6,0.050930806588002864,0.0006666666666666669,200,120,0,0,40,40,40,0
round_robin,120,8,0.6,0.05319305638274189,0.0006666666666666669,200,120,0,0,40,40,40,0
round_robin,120,9,0.6,0.0542744577654396,0.0006666666666666664,200,120,0,0,40,40,40,0
round_robin,120,10,0.6,0.051772458948698245,0.0006666666666666666,200,120,0,0,40,40,40,0
shortest_queue,30,1,0.15,0.050000000000000024,0.00016666666666666666,200,30,0,0,10,10,10,0
shortest_queue,30,2,0.15,0.050000000000000024,0.00016666666666666666,200,30,0,0,10,10,10,0
shortest_queue,30,3,0.15,0.050000000000000024,0.00016666666666666672,200,30,0,0,10,10,10,0
shortest_queue,30,4,0.15,0.050000000000000024,0.00016666666666666666,200,30,0,0,10,10,10,0
shortest_queue,30,5,0.15,0.050000000000000024,0.0001666666666666667,200,30,0,0,10,10,10,0
shortest_queue,30,6,0.15,0.050000000000000024,0.00016666666666666666,200,30,0,0,10,10,10,0
shortest_queue,30,7,0.15,0.050000000000000024,0.0001666666666666667,200,30,0,0,10,10,10,0
shortest_queue,30,8,0.15,0.050000000000000024,0.00016666666666666666,200,30,0,0,10,10,10,0
shortest_queue,30,9,0.15,0.050000000000000024,0.00016666666666666672,200,30,0,0,10,10,10,0
shortest_queue,30,10,0.15,0.050000000000000024,0.00016666666666666663,200,30,0,0,10,10,10,0
shortest_queue,60,1,0.3,0.05017650689659479,0.0003333333333333333,200,60,0,0,21,20,19,0
shortest_queue,60,2,0.3,0.05157981789875473,0.0003333333333333333,200,60,0,0,21,20,19,0
shortest_queue,60,3,0.3,0.049999999999999954,0.0003333333333333333,200,60,0,0,21,20,19,0
shortest_queue,60,4,0.3,0.049999999999999954,0.0003333333333333332,200,60,0,0,20,20,20,0
shortest_queue,60,5,0.3,0.049999999999999954,0.0003333333333333334,200,60,0,0,21,20,19,0
shortest_queue,60,6,0.3,0.05177386558636433,0.0003333333333333333,200,60,0,0,21,20,19,0
shortest_queue,60,7,0.3,0.05210542985651523,0.0003333333333333334,200,60,0,0,20,20,20,0
shortest_queue,60,8,0.3,0.0511420410978324,0.00033333333333333327,200,60,0,0,21,20,19,0
shortest_queue,60,9,0.3,0.049999999999999954,0.0003333333333333335,200,60,0,0,21,20,19,0
shortest_queue,60,10,0.3,0.05235754923392806,0.0003333333333333333,200,60,0,0,20,20,20,0
shortest_queue,90,1,0.45,0.04999999999999991,0.0005000000000000003,200,90,0,0,31,30,29,0
shortest_queue,90,2,0.45,0.05405577931932853,0.0005,200,90,0,0,30,30,30,0
shortest_queue,90,3,0.45,0.04999999999999991,0.0004999999999999997,200,90,0,0,31,30,29,0
shortest_queue,90,4,0.45,0.053159613808472256,0.0005000000000000002,200,90,0,0,31,30,29,0
shortest_queue,90,5,0.45,0.05012250932232494,0.0005,200,90,0,0,30,30,30,0
shortest_queue,90,6,0.45,0.05076204094429964,0.0005000000000000001,200,90,0,0,31,30,29,0
shortest_queue,90,7,0.45,0.05079092491217975,0.0005000000000000001,200,90,0,0,31,30,29,0
shortest_queue,90,8,0.45,0.0525065274611487,0.0005000000000000001,200,90,0,0,30,30,30,0
shortest_queue,90,9,0.45,0.05097133588661236,0.0004999999999999999,200,90,0,0,31,30,29,0
shortest_queue,90,10,0.45,0.05192226209243817,0.0005,200,90,0,0,30,30,30,0
shortest_queue,120,1,0.6,0.05434594557247461,0.0006666666666666663,200,120,0,0,40,40,40,0
shortest_queue,120,2,0.6,0.05172814198970392,0.0006666666666666671,200,120,0,0,41,40,39,0
shortest_queue,120,3,0.6,0.05860881942928342,0.0006666666666666665,200,120,0,0,40,40,40,0
shortest_queue,120,4,0.6,0.05714009567269336,0.0006666666666666664,200,120,0,0,41,40,39,0
shortest_queue,120,5,0.6,0.05139139745620525,0.0006666666666666672,200,120,0,0,41,40,39,0
shortest_queue,120,6,0.6,0.0580777852146659,0.0006666666666666668,200,120,0,0,41,40,39,0
shortest_queue,120,7,0.6,0.050930806588002864,0.0006666666666666669,200,120,0,0,41,40,39,0
shortest_queue,120,8,0.6,0.053193056382741896,0.0006666666666666669,200,120,0,0,41,40,39,0
shortest_queue,120,9,0.6,0.054274457765439606,0.0006666666666666666,200,120,0,0,41,40,39,0
shortest_queue,120,10,0.6,0.05179701327508164,0.0006666666666666665,200,120,0,0,40,40,40,0
